Date,Content,Video title,Video publish time,Duration,Views from playlist
2022-02-20, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-02-21, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-02-22, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-02-23, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-02-24, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-02-25, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-02-26, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-02-27, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-02-28, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-01, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-02, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-03, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-04, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-05, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-06, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-07, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-08, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-09, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
2022-03-10, -dc4xxCIeqQ,CRRESS Session1: Should journals verify reproducibility? (first cut),"Oct 1, 2022",3433,0
